answer_llm,answer_orig,document,question,course,cosine
"To use the `precision_recall_fscore_support` function from the Scikit-learn library in Python, you can follow this syntax:

```python
from sklearn.metrics import precision_recall_fscore_support
precision, recall, fscore, support = precision_recall_fscore_support(y_val, y_val_pred, zero_division=0)
```

Here, `y_val` represents the true labels, and `y_val_pred` represents the predicted labels. The `zero_division` parameter is set to 0 to avoid division by zero errors. The function returns four values: precision, recall, fscore, and support.","Scikit-learn offers another way: precision_recall_fscore_support
Example:
from sklearn.metrics import precision_recall_fscore_support
precision, recall, fscore, support = precision_recall_fscore_support(y_val, y_val_pred, zero_division=0)
(Gopakumar Gopinathan)",403bbdd8,What is the syntax for using precision_recall_fscore_support in Python?,machine-learning-zoomcamp,0.9048741
"To avoid pickle errors when using waitress, you should modify your scripts by putting the custom column transformer class into a separate module and importing it in both the script that saves the model (e.g. train.py) and the script that loads the model (e.g. predict.py). This is because when the model is saved, it is saved from the __main__ module, and when using waitress, it will try to find the class in the global namespace (__main__) which does not exist.

Additionally, make sure to properly key in f-strings when using pickle, by using {} around the variable instead of () in your format string. Also, ensure that the application name does not contain a dash when running waitress-serve, and instead replace it with something else, like an underscore.

If you are installing waitress on Windows via GitBash and encountering the ""waitress-serve"" command not found error, run 'pip install waitress' in a Jupyter notebook instead, this will download the executable file 'waitress-serve.exe' which you can then add to GitBash's PATH.

You can find the version of waitress or any installed python libraries in Jupyter notebook by importing the library and then printing its __version__ attribute.","When running a docker container with waitress serving the app.py for making predictions, pickle will throw an error that can't get attribute <name_of_class> on module __main__.
This does not happen when Flask is used directly, i.e. not through waitress.
The problem is that the model uses a custom column transformer class, and when the model was saved, it was saved from the __main__ module (e.g. python train.py). Pickle will reference the class in the global namespace (top-level code): __main__.<custom_class>.
When using waitress, waitress will load the predict_app module and this will call pickle.load, that will try to find __main__.<custom_class> that does not exist.
Solution:
Put the class into a separate module and import it in both the script that saves the model (e.g. train.py) and the script that loads the model (e.g. predict.py)
Note: If Flask is used (no waitress) in predict.py, and predict.py has the definition of the class, When  it is run: python predict.py, it will work because the class is in the same namespace as the one used when the model was saved (__main__).
Detailed info: https://stackoverflow.com/questions/27732354/unable-to-load-files-using-pickle-and-multiple-modules
Marcos MJD",236864c2,How should I modify my scripts to avoid pickle errors when using waitress?,machine-learning-zoomcamp,0.7131424
"The command to launch a container image in interactive mode is ""docker run -it --entrypoint bash <image>"". This command will allow you to debug the container by overriding the entrypoint to start a bash command, giving you access to the container's environment to examine and address any issues.","Launch the container image in interactive mode and overriding the entrypoint, so that it starts a bash command.
docker run -it --entrypoint bash <image>
If the container is already running, execute a command in the specific container:
docker ps (find the container-id)
docker exec -it <container-id> bash
(Marcos MJD)",63a81b57,What command launches a container image in interactive mode?,machine-learning-zoomcamp,0.8552798
"Yes, you can make a pull request for homework solutions using Pytorch. It is mentioned in the context that for the lessons and homework, the main deep learning framework used is Keras, but one is welcome to make a pull request with Pytorch equivalents for lessons and homework. The functions of Pytorch and Keras have similar goals, although the syntax may be slightly different.","Pytorch is also a deep learning framework that allows to do equivalent tasks as keras. Here is a tutorial to create a CNN from scratch using pytorch :
https://blog.paperspace.com/writing-cnns-from-scratch-in-pytorch/
The functions have similar goals. The syntax can be slightly different. For the lessons and the homework, we use keras, but one can feel free to make a pull request with the equivalent with pytorch for lessons and homework!
Mélanie Fouesnard",c4ff26e5,Can we make a pull request for homework solutions using Pytorch?,machine-learning-zoomcamp,0.54425514
"The cause of the pip version error in this week's serverless deep learning section is likely a version conflict in Scikit-Learn. When creating a virtual environment, it is important to use the same version of Scikit-Learn that was used for training the model. In this case, the error was encountered when the training was done using Scikit-Learn version 1.1.1, but the virtual environment had a different version. The solution is to ensure that the model and other files are created using the same version of Scikit-Learn that is being used for the project by running ""pipenv install scikit-learn==1.1.1"".","When running docker build -t dino-dragon-model it returns the above error
The most common source of this error in this week is because Alex video shows a version of the wheel with python 8, we need to find a wheel with the version that we are working on. In this case python 9. Another common error is to copy the link, this will also produce the same error, we need to download the raw format:
https://github.com/alexeygrigorev/tflite-aws-lambda/raw/main/tflite/tflite_runtime-2.7.0-cp39-cp39-linux_x86_64.whl
Pastor Soto",42c09143,What might be the cause of the pip version error in this week's serverless deep learning section?,machine-learning-zoomcamp,0.33217958
"To check the HPA (Horizontal Pod Autoscaler) status again after editing the metrics-server, you should run the command:

```
kubectl get hpa
```

This command will display the current status of the HPA and its configured resources. Remember to run this command in the appropriate context of your Kubernetes cluster. After making changes to the metrics-server as described in the first answer you provided, running this command will allow you to see if the HPA instance is now running correctly and showing the correct CPU metrics.","In case the HPA instance does not run correctly even after installing the latest version of Metrics Server from the components.yaml manifest with:
>>kubectl apply -f https://github.com/kubernetes-sigs/metrics-server/releases/latest/download/components.yaml
And the targets still appear as <unknown>
Run >>kubectl edit deploy -n kube-system metrics-server
And search for this line:
args:
- --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname
Add this line in the middle:  - --kubelet-insecure-tls
So that it stays like this:
args:
- --kubelet-insecure-tls
- --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname
Save and run again >>kubectl get hpa
Added by Marilina Orihuela",df023a13,What command do we run after editing the metrics-server to check the HPA status again?,machine-learning-zoomcamp,0.79007983
"To check your AWS CLI version for eksctl compatibility, you can use the command `aws --version`. According to the course FAQ, eksctl is compatible with AWS CLI v2.","Make sure you are on AWS CLI v2 (check with aws --version)
https://docs.aws.amazon.com/cli/latest/userguide/cliv2-migration-instructions.html",00882c83,How can I check my AWS CLI version for eksctl compatibility?,machine-learning-zoomcamp,0.49754995
"The main reason for different accuracy values in the context of the provided document is the way of splitting data into train, validation, and test sets. Specifically, the order and method of splitting the data can result in slightly different subsets of data, leading to differences in accuracy values. When evaluating feature elimination, it is recommended to calculate the smallest difference in accuracy in absolute values, not in real values. Additionally, when comparing accuracy scores, it is recommended to take the smallest absolute difference, since the order of subtraction can result in a negative number. The actual values predicted by a neural network should be treated as a likelihood of falling into a class, with some small changes expected. The choice between using ROC curves or Precision-Recall curves depends on the balance of observations between each class. ROC curves are appropriate for balanced datasets, while Precision-Recall curves are better suited for imbalanced datasets, as they present a more accurate picture of the model's performance.","One main reason behind that, is the way of splitting data. For example, we want to split data into train/validation/test with the ratios 60%/20%/20% respectively.
Although the following two options end up with the same ratio, the data itself is a bit different and not 100% matching in each case.
1)
df_train, df_temp = train_test_split(df, test_size=0.4, random_state=42)
df_val, df_test = train_test_split(df_temp, test_size=0.5, random_state=42)
2)
df_full_train, df_test = train_test_split(df, test_size=0.2, random_state=42)
df_train, df_val = train_test_split(df_full_train, test_size=0.25, random_state=42)
Therefore, I would recommend using the second method which is more consistent with the lessons and thus the homeworks.
Ibraheem Taha",25481ce5,What is one main reason for different accuracy values?,machine-learning-zoomcamp,0.35872948
"If you lose the REMOTE\_URI variable after the session ends, you will need to manually set it again in your terminal. You can do this by following the steps provided by Bhaskar Sarma in the context:

1. Type `export REMOTE_URI=your_URI` in your terminal, replacing ""your\_URI"" with your actual URI address.
2. Verify that the variable has been set correctly by typing `echo $REMOTE_URI`.

Note that you don't need to use curly brackets around the variable name, and you should replace REMOTE\_URI with your URI. Also, keep in mind that this variable will only be available in the current terminal session, so you will need to set it again in each new session.","Solution description
In the unit 9.6, Alexey ran the command echo ${REMOTE_URI} which turned the URI address in the terminal. There workaround is to set a local variable (REMOTE_URI) and assign your URI address in the terminal and use it to login the registry, for instance, REMOTE_URI=2278222782.dkr.ecr.ap-south-1.amazonaws.com/clothing-tflite-images (fake address). One caveat is that you will lose this variable once the session is terminated.
I also had the same problem on Ubuntu terminal. I executed the following two commands:
$ export REMOTE_URI=1111111111.dkr.ecr.us-west-1.amazonaws.com/clothing-tflite-images:clothing-model-xception-v4-001
$ echo $REMOTE_URI
111111111.dkr.ecr.us-west-1.amazonaws.com/clothing-tflite-images:clothing-model-xception-v4-001
Note: 1. no curly brackets (e.g. echo ${REMOTE_URI}) needed unlike in video 9.6,
2. Replace REMOTE_URI with your URI
(Bhaskar Sarma)",60fa95ed,What should I do if I lose the REMOTE_URI variable after the session ends?,machine-learning-zoomcamp,0.54117864
"The script for generating the Kitchenware Classification Competition dataset can be found on Kaggle, at the following link: kitchenware-dataset-generator | Kaggle. This information was provided in the ""Miscellaneous"" section of the FAQ database, in the answer to the question ""Kitchenware Classification Competition Dataset Generator"".","The image dataset for the competition was in a different layout from what we used in the dino vs dragon lesson. Since that’s what was covered, some folks were more comfortable with that setup, so I wrote a script that would generate it for them
It can be found here: kitchenware-dataset-generator | Kaggle
Martin Uribe",20174c95,Where can I find the script for generating the Kitchenware Classification Competition dataset?,machine-learning-zoomcamp,0.6058929
